ensembl_gene_id	gene_biotype	hgnc_symbol
ENSG00000210049	Mt_tRNA	MT-TF
ENSG00000211459	Mt_rRNA	MT-RNR1
ENSG00000210077	Mt_tRNA	MT-TV
ENSG00000210082	Mt_rRNA	MT-RNR2
ENSG00000209082	Mt_tRNA	MT-TL1
ENSG00000198888	protein_coding	MT-ND1
ENSG00000210100	Mt_tRNA	MT-TI
ENSG00000210107	Mt_tRNA	MT-TQ
ENSG00000210112	Mt_tRNA	MT-TM
ENSG00000198763	protein_coding	MT-ND2
ENSG00000210117	Mt_tRNA	MT-TW
ENSG00000210127	Mt_tRNA	MT-TA
ENSG00000210135	Mt_tRNA	MT-TN
ENSG00000210140	Mt_tRNA	MT-TC
ENSG00000210144	Mt_tRNA	MT-TY
ENSG00000198804	protein_coding	MT-CO1
ENSG00000210151	Mt_tRNA	MT-TS1
ENSG00000210154	Mt_tRNA	MT-TD
ENSG00000198712	protein_coding	MT-CO2
ENSG00000210156	Mt_tRNA	MT-TK
ENSG00000228253	protein_coding	MT-ATP8
ENSG00000198899	protein_coding	MT-ATP6
ENSG00000198938	protein_coding	MT-CO3
ENSG00000210164	Mt_tRNA	MT-TG
ENSG00000198840	protein_coding	MT-ND3
ENSG00000210174	Mt_tRNA	MT-TR
ENSG00000212907	protein_coding	MT-ND4L
ENSG00000198886	protein_coding	MT-ND4
ENSG00000210176	Mt_tRNA	MT-TH
ENSG00000210184	Mt_tRNA	MT-TS2
ENSG00000210191	Mt_tRNA	MT-TL2
ENSG00000198786	protein_coding	MT-ND5
ENSG00000198695	protein_coding	MT-ND6
ENSG00000210194	Mt_tRNA	MT-TE
ENSG00000198727	protein_coding	MT-CYB
ENSG00000210195	Mt_tRNA	MT-TT
ENSG00000210196	Mt_tRNA	MT-TP
ENSG00000281540	protein_coding	RCC2
ENSG00000280795	processed_pseudogene	MPRIPP1
ENSG00000281557	lincRNA	
ENSG00000281011	lincRNA	
ENSG00000280751	processed_pseudogene	AKR7A2P1
ENSG00000281391	antisense	
ENSG00000280661	protein_coding	ZNF660
ENSG00000281393	misc_RNA	
ENSG00000280949	protein_coding	PADI6
ENSG00000281430	unprocessed_pseudogene	
ENSG00000280632	misc_RNA	
ENSG00000281499	snRNA	RNU5A-8P
ENSG00000281707	processed_pseudogene	
ENSG00000280781	processed_pseudogene	EI24P3
ENSG00000281626	protein_coding	ZNF852
ENSG00000281552	processed_pseudogene	
ENSG00000280963	antisense	SERTAD4-AS1
ENSG00000281230	protein_coding	SERTAD4
ENSG00000281067	processed_pseudogene	ST13P19
ENSG00000280680	protein_coding	HHAT
ENSG00000281309	protein_coding	SURF6
ENSG00000281917	protein_coding	SLC16A1
ENSG00000281614	protein_coding	INPP5D
ENSG00000280858	protein_coding	RPL7A
ENSG00000281518	protein_coding	
ENSG00000280584	protein_coding	OBP2B
ENSG00000281810	miRNA	MIR3972
ENSG00000280908	protein_coding	PADI4
ENSG00000280820	unprocessed_pseudogene	LCN1P1
ENSG00000280549	protein_coding	PADI3
ENSG00000281894	protein_coding	ZKSCAN7
ENSG00000281876	antisense	
ENSG00000280937	processed_pseudogene	
ENSG00000281132	misc_RNA	
ENSG00000281226	lincRNA	
ENSG00000281459	protein_coding	PADI1
ENSG00000281835	protein_coding	
ENSG00000281456	antisense	
ENSG00000281299	miRNA	
ENSG00000281764	processed_pseudogene	
ENSG00000281306	protein_coding	ZNF35
ENSG00000281504	miRNA	
ENSG00000281384	lincRNA	
ENSG00000280792	lincRNA	
ENSG00000280907	antisense	ZNF197-AS1
ENSG00000281771	misc_RNA	
ENSG00000281699	processed_pseudogene	
ENSG00000252303	snRNA	RNU6-280P
ENSG00000252303	snRNA	RNU6-1221P
ENSG00000281885	miRNA	
ENSG00000281709	protein_coding	ZNF197
ENSG00000281022	protein_coding	
ENSG00000281661	protein_coding	
ENSG00000280864	lincRNA	
ENSG00000281822	snRNA	
ENSG00000281541	snoRNA	
ENSG00000281907	snoRNA	
ENSG00000280948	miRNA	MIR1976
ENSG00000281092	misc_RNA	RN7SL679P
ENSG00000281243	snoRNA	
ENSG00000280812	miRNA	
ENSG00000281024	protein_coding	
ENSG00000280669	misc_RNA	RN7SL32P
ENSG00000281766	protein_coding	
ENSG00000281877	protein_coding	RPS6KA1
ENSG00000280889	snoRNA	
ENSG00000281665	protein_coding	
ENSG00000281434	protein_coding	
ENSG00000280627	protein_coding	
ENSG00000280775	rRNA	
ENSG00000280505	processed_pseudogene	
ENSG00000281102	lincRNA	
ENSG00000280872	processed_pseudogene	
ENSG00000281316	processed_pseudogene	DPPA2P2
ENSG00000281448	protein_coding	
ENSG00000231015	lincRNA	
ENSG00000282224	processed_pseudogene	
ENSG00000224873	unprocessed_pseudogene	CDY13P
ENSG00000280305	TEC	
ENSG00000253866	processed_pseudogene	TMEM97P2
ENSG00000282060	processed_pseudogene	
ENSG00000203413	processed_pseudogene	ACTBP6
ENSG00000236913	processed_pseudogene	
ENSG00000254091	processed_pseudogene	
ENSG00000275737	protein_coding	KIR2DS2
ENSG00000250587	processed_pseudogene	HPRT1P2
ENSG00000229646	lincRNA	
ENSG00000246145	lincRNA	RRS1-AS1
ENSG00000229398	processed_pseudogene	
ENSG00000237690	unprocessed_pseudogene	OR2B4P
ENSG00000248884	lincRNA	
ENSG00000282696	processed_pseudogene	
ENSG00000223441	unprocessed_pseudogene	OR2I1P
ENSG00000150510	protein_coding	FAM124A
ENSG00000258265	lincRNA	
ENSG00000230725	lincRNA	
ENSG00000232643	lincRNA	LINC00385
ENSG00000230635	unprocessed_pseudogene	CYP4F60P
ENSG00000282169	processed_pseudogene	
ENSG00000255144	unprocessed_pseudogene	
ENSG00000232117	lincRNA	LINC00384
ENSG00000282660	unprocessed_pseudogene	
ENSG00000250524	lincRNA	
ENSG00000253655	processed_pseudogene	IGJP1
ENSG00000280695	lincRNA	
ENSG00000282765	lincRNA	
ENSG00000224296	processed_pseudogene	MRPL49P1
ENSG00000255174	processed_pseudogene	
ENSG00000233503	processed_pseudogene	HNRNPLP1
ENSG00000282570	lincRNA	
ENSG00000282368	unprocessed_pseudogene	
ENSG00000279499	TEC	
ENSG00000274173	lincRNA	
ENSG00000227336	lincRNA	LINC00434
ENSG00000249588	lincRNA	
ENSG00000228292	processed_pseudogene	
ENSG00000251273	lincRNA	
ENSG00000281763	protein_coding	DHX36
ENSG00000250118	processed_pseudogene	
ENSG00000253283	processed_pseudogene	
ENSG00000233068	lincRNA	
ENSG00000219993	processed_pseudogene	
ENSG00000248359	lincRNA	
ENSG00000251654	lincRNA	
ENSG00000245662	lincRNA	
ENSG00000231159	unprocessed_pseudogene	OFD1P8Y
ENSG00000260604	lincRNA	
ENSG00000234115	processed_pseudogene	
ENSG00000232475	unprocessed_pseudogene	HSFY5P
ENSG00000218472	processed_pseudogene	
ENSG00000261189	antisense	
ENSG00000217135	processed_pseudogene	
ENSG00000253383	processed_pseudogene	
ENSG00000229553	unprocessed_pseudogene	USP9YP17
ENSG00000230243	processed_pseudogene	FKBP1AP3
ENSG00000235963	unprocessed_pseudogene	MCCD1P1
ENSG00000228265	lincRNA	RALY-AS1
ENSG00000217566	processed_pseudogene	TDGF1P4
ENSG00000256079	processed_pseudogene	
ENSG00000254538	lincRNA	
ENSG00000216657	processed_pseudogene	GLRX3P2
ENSG00000228850	unprocessed_pseudogene	CDY12P
ENSG00000206507	transcribed_unprocessed_pseudogene	HLA-V
ENSG00000158014	protein_coding	SLC30A2
ENSG00000147905	protein_coding	ZCCHC7
ENSG00000236225	unprocessed_pseudogene	HCG4
ENSG00000198785	protein_coding	GRIN3A
ENSG00000231061	antisense	LINC00395
ENSG00000236798	processed_pseudogene	PAIP1P1
ENSG00000281365	lincRNA	
ENSG00000189298	protein_coding	ZKSCAN3
ENSG00000232909	antisense	
ENSG00000225649	processed_transcript	
ENSG00000281460	lincRNA	
ENSG00000232179	unprocessed_pseudogene	
ENSG00000253317	lincRNA	
ENSG00000240791	unprocessed_pseudogene	
ENSG00000277276	protein_coding	OTUB2
ENSG00000234655	unprocessed_pseudogene	OR7E155P
ENSG00000228069	unprocessed_pseudogene	
ENSG00000274052	unprocessed_pseudogene	OR7E156P
ENSG00000261447	lincRNA	
ENSG00000237378	lincRNA	
ENSG00000282355	antisense	CARS-AS1
ENSG00000206341	unprocessed_pseudogene	HLA-H
ENSG00000215154	transcribed_unprocessed_pseudogene	
ENSG00000136932	protein_coding	C9orf156
ENSG00000274000	protein_coding	LILRA2
ENSG00000243916	processed_pseudogene	
ENSG00000249198	lincRNA	
ENSG00000254273	processed_pseudogene	
ENSG00000256650	sense_intronic	RERG-IT1
ENSG00000241846	processed_pseudogene	
ENSG00000260388	lincRNA	LINC00562
ENSG00000227766	unprocessed_pseudogene	HCG4P5
ENSG00000235108	unprocessed_pseudogene	IFNA12P
ENSG00000249436	lincRNA	
ENSG00000120669	protein_coding	SOHLH2
ENSG00000276044	protein_coding	KIR2DL4
ENSG00000253273	unprocessed_pseudogene	
ENSG00000257009	sense_intronic	
ENSG00000236534	processed_pseudogene	H3F3BP1
ENSG00000234980	processed_pseudogene	WASF5P
ENSG00000230790	antisense	
ENSG00000134326	protein_coding	CMPK2
ENSG00000237816	processed_pseudogene	RPL21P109
ENSG00000271257	processed_pseudogene	
ENSG00000143797	protein_coding	MBOAT2
ENSG00000213232	processed_pseudogene	PPP1R2P10
ENSG00000229370	lincRNA	
ENSG00000124557	protein_coding	BTN1A1
ENSG00000050393	protein_coding	MCUR1
ENSG00000082556	protein_coding	OPRK1
ENSG00000103375	protein_coding	AQP8
ENSG00000204632	protein_coding	HLA-G
ENSG00000237154	processed_pseudogene	MCFD2P1
ENSG00000173673	protein_coding	HES3
ENSG00000238288	unprocessed_pseudogene	
ENSG00000198865	protein_coding	CCDC152
ENSG00000125970	protein_coding	RALY
ENSG00000124157	protein_coding	SEMG2
ENSG00000248677	lincRNA	
ENSG00000258677	protein_coding	
ENSG00000228881	protein_coding	TRIM26
ENSG00000088812	protein_coding	ATRN
ENSG00000280735	antisense	
ENSG00000253322	lincRNA	
ENSG00000228025	unprocessed_pseudogene	MTCO3P1
ENSG00000134057	protein_coding	CCNB1
ENSG00000180042	unprocessed_pseudogene	OR1R1P
ENSG00000279625	TEC	
ENSG00000254139	lincRNA	
ENSG00000277559	lincRNA	
ENSG00000250138	unprocessed_pseudogene	
ENSG00000230465	processed_pseudogene	VENTXP4
ENSG00000225655	lincRNA	
ENSG00000233325	transcribed_unprocessed_pseudogene	MIPEPP3
ENSG00000243749	protein_coding	ZMYM6NB
ENSG00000054803	protein_coding	CBLN4
ENSG00000256377	antisense	
ENSG00000197646	protein_coding	PDCD1LG2
ENSG00000258940	antisense	
ENSG00000276261	antisense	
ENSG00000228034	processed_pseudogene	HMGN2P21
ENSG00000155621	protein_coding	C9orf85
ENSG00000246528	antisense	
ENSG00000280811	processed_transcript	NDUFA6-AS1
ENSG00000224608	protein_coding	HLA-B
ENSG00000189410	protein_coding	SH2D5
ENSG00000257115	protein_coding	OR11H12
ENSG00000274143	protein_coding	KIR2DL5A
ENSG00000260735	antisense	
ENSG00000241014	processed_transcript	
ENSG00000174236	protein_coding	REP15
ENSG00000253203	transcribed_unprocessed_pseudogene	GUSBP3
ENSG00000257672	processed_pseudogene	
ENSG00000122033	protein_coding	MTIF3
ENSG00000248846	lincRNA	
ENSG00000226174	protein_coding	TEX22
ENSG00000260284	unprocessed_pseudogene	TPSP2
ENSG00000226836	processed_pseudogene	
ENSG00000125851	protein_coding	PCSK2
ENSG00000228762	processed_transcript	HCG20
ENSG00000275867	protein_coding	KANSL1
ENSG00000281145	IG_V_gene	IGLV5-45
ENSG00000261898	antisense	
ENSG00000150526	protein_coding	MIA2
ENSG00000253648	lincRNA	
ENSG00000250251	transcribed_unprocessed_pseudogene	PKD1P6
ENSG00000211866	TR_J_gene	TRAJ23
ENSG00000269881	protein_coding	
ENSG00000211836	TR_J_gene	TRAJ54
ENSG00000152936	protein_coding	LMNTD1
ENSG00000211828	TR_J_gene	TRDJ3
ENSG00000277692	lincRNA	
ENSG00000250299	transcribed_unprocessed_pseudogene	MRPS31P4
ENSG00000211819	TR_V_gene	TRAV40
ENSG00000262670	sense_overlapping	
ENSG00000101200	protein_coding	AVP
ENSG00000273784	processed_transcript	
ENSG00000261071	antisense	
ENSG00000137204	protein_coding	SLC22A7
ENSG00000230814	unprocessed_pseudogene	USP9YP24
ENSG00000238289	protein_coding	MICB
ENSG00000211812	TR_V_gene	TRAV26-2
ENSG00000282028	lincRNA	
ENSG00000229542	processed_pseudogene	SSU72P7
ENSG00000275136	protein_coding	FCAR
ENSG00000258560	antisense	
ENSG00000168303	protein_coding	MPLKIP
ENSG00000240535	processed_transcript	
ENSG00000237145	unprocessed_pseudogene	MTCO3P1
ENSG00000238248	processed_pseudogene	
ENSG00000280254	TEC	
ENSG00000270390	processed_pseudogene	
ENSG00000236643	antisense	
ENSG00000232073	antisense	
ENSG00000260511	sense_intronic	
ENSG00000259833	antisense	
ENSG00000198445	protein_coding	CCT8L2
ENSG00000188573	protein_coding	FBLL1
ENSG00000280334	TEC	
ENSG00000204399	processed_pseudogene	
ENSG00000253820	IG_V_pseudogene	IGHVII-67-1
ENSG00000234979	antisense	
ENSG00000228668	TR_V_pseudogene	TRGV5P
ENSG00000264290	sense_intronic	
ENSG00000276007	sense_intronic	
ENSG00000213133	processed_pseudogene	PPP1R14BP5
ENSG00000168122	unprocessed_pseudogene	ZNF355P
ENSG00000271945	lincRNA	
ENSG00000226540	processed_pseudogene	GAPDHP73
ENSG00000220733	processed_pseudogene	
ENSG00000236882	lincRNA	LINC01554
ENSG00000231943	lincRNA	PGM5P4-AS1
ENSG00000275428	protein_coding	
ENSG00000279991	TEC	
ENSG00000226359	processed_pseudogene	ACTG1P24
ENSG00000231916	processed_pseudogene	
ENSG00000181472	protein_coding	ZBTB2
ENSG00000278878	lincRNA	
ENSG00000101346	protein_coding	POFUT1
ENSG00000237921	lincRNA	
ENSG00000270983	processed_pseudogene	
ENSG00000231202	TR_V_pseudogene	TRGVB
