geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000174231,8.817046223032202,8.729263181926775,190.04971956220342,6.86996726420254e-22,3.942511886579627e-18,35.21948144481052,(Intercept),up
ENSG00000162511,10.297920950597446,10.31018943049263,185.92254959036532,8.89491713929727e-22,3.942511886579627e-18,35.13670673597596,(Intercept),up
ENSG00000065978,10.35643365033224,10.492471164560543,184.62084669624437,9.661451442659354e-22,3.942511886579627e-18,35.10967505278413,(Intercept),up
ENSG00000152291,9.347565807380285,9.37630053843641,177.75836633639338,1.508656895534334e-21,3.942511886579627e-18,34.95932142005553,(Intercept),up
ENSG00000164733,14.421686954035202,14.455690790098336,177.49107225054527,1.5356048479316143e-21,3.942511886579627e-18,34.9531855505493,(Intercept),up
ENSG00000009307,9.075168519593317,9.202461014216437,171.41676220116318,2.3131556996036676e-21,4.5370528608142e-18,34.807661457349575,(Intercept),up
ENSG00000084234,11.344603299996242,11.473577634039149,170.4398043528649,2.4740492346887435e-21,4.5370528608142e-18,34.7831217511598,(Intercept),up
ENSG00000103187,9.339084833788023,9.299307586631787,166.7593152067835,3.1985194777153706e-21,5.132424316929027e-18,34.68767231184749,(Intercept),up
ENSG00000177600,9.166947451076805,9.292734844103327,161.9321416306963,4.518864750847534e-21,5.2240053130276955e-18,34.55488596720168,(Intercept),up
ENSG00000166913,8.54456876853353,8.614326283025472,161.66418306519844,4.607770407325617e-21,5.2240053130276955e-18,34.54724908652639,(Intercept),up
ENSG00000100201,8.630065066153474,8.487282531785741,159.22017292481652,5.512136870949964e-21,5.2240053130276955e-18,34.4762451036162,(Intercept),up
ENSG00000167996,12.131016201395047,12.479381239426125,157.05107232711592,6.47740554794406e-21,5.2240053130276955e-18,34.411130923594776,(Intercept),up
ENSG00000115677,9.262090096014385,9.31548136831546,156.66753479949193,6.666429421811448e-21,5.2240053130276955e-18,34.399406154040314,(Intercept),up
ENSG00000119321,9.216761955846842,9.025326677679885,156.43728736452837,6.782774175259051e-21,5.2240053130276955e-18,34.39233645083756,(Intercept),up
ENSG00000108298,9.295519746259657,9.348672618528656,156.40056821965328,6.801531290207825e-21,5.2240053130276955e-18,34.39120683624459,(Intercept),up
ENSG00000089597,7.837797829424384,7.8983718289574165,155.47892902129206,7.291255735289031e-21,5.2240053130276955e-18,34.362657808029745,(Intercept),up
ENSG00000047410,7.825260346657304,7.826954097710533,155.40247795449923,7.333564593911983e-21,5.2240053130276955e-18,34.36027258933197,(Intercept),up
ENSG00000075785,9.090092487982014,9.217833155572977,154.98219327774748,7.5709628810199e-21,5.2240053130276955e-18,34.34711297753807,(Intercept),up
ENSG00000111229,8.477319817103014,8.550463906930462,153.4154267196789,8.53222591102915e-21,5.2240053130276955e-18,34.29734549928224,(Intercept),up
ENSG00000137076,10.974775926234466,10.978198582512574,153.03523072743607,8.784946607475454e-21,5.2240053130276955e-18,34.28509748853496,(Intercept),up
ENSG00000105323,7.773677164898293,7.738280016934858,152.62447290887852,9.067140194754744e-21,5.2240053130276955e-18,34.2717886632264,(Intercept),up
ENSG00000159140,8.84808720886707,8.950761418540676,152.4030685132751,9.223313484070094e-21,5.2240053130276955e-18,34.26458195559013,(Intercept),up
ENSG00000131981,10.472868841087086,10.494580784857764,151.0720192829442,1.022593011212059e-20,5.2240053130276955e-18,34.220762371648426,(Intercept),up
ENSG00000131469,7.948854920890102,8.076872763429902,150.78867256995227,1.0454274425206532e-20,5.2240053130276955e-18,34.21132370757909,(Intercept),up
ENSG00000100813,8.003534266293974,7.932539795599146,150.65712527990786,1.0562161309966774e-20,5.2240053130276955e-18,34.20692835283988,(Intercept),up
ENSG00000115524,8.640779967962217,8.665347937773882,150.60910420783355,1.0601845657655983e-20,5.2240053130276955e-18,34.20532172451669,(Intercept),up
ENSG00000144028,8.583699565116017,8.478342167304167,149.48403598779655,1.1579464089805068e-20,5.2240053130276955e-18,34.167354605980236,(Intercept),up
ENSG00000075415,7.541847546742402,7.64240383036726,149.38023954935966,1.1674467572483253e-20,5.2240053130276955e-18,34.163820083712594,(Intercept),up
ENSG00000067560,9.28530543007202,9.389020694214485,149.24284768283528,1.180152325915737e-20,5.2240053130276955e-18,34.15913323553709,(Intercept),up
