geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000188976,3,NA,NA,03,brown
ENSG00000187583,1,NA,NA,01,turquoise
ENSG00000188290,1,NA,NA,01,turquoise
ENSG00000187608,8,NA,NA,08,pink
ENSG00000188157,1,NA,NA,01,turquoise
ENSG00000186891,1,NA,NA,01,turquoise
ENSG00000186827,1,NA,NA,01,turquoise
ENSG00000078808,1,NA,NA,01,turquoise
ENSG00000176022,11,NA,NA,11,greenyellow
ENSG00000160087,1,NA,NA,01,turquoise
ENSG00000127054,3,NA,NA,03,brown
ENSG00000107404,1,NA,NA,01,turquoise
ENSG00000242485,3,NA,NA,03,brown
ENSG00000179403,3,NA,NA,03,brown
ENSG00000160072,3,NA,NA,03,brown
ENSG00000228594,2,NA,NA,02,blue
ENSG00000197530,9,NA,NA,09,magenta
ENSG00000189339,4,NA,NA,04,yellow
ENSG00000215790,10,NA,NA,10,purple
ENSG00000078369,1,NA,NA,01,turquoise
ENSG00000157933,6,NA,NA,06,red
ENSG00000116151,10,NA,NA,10,purple
ENSG00000157916,1,NA,NA,01,turquoise
ENSG00000157881,3,NA,NA,03,brown
ENSG00000215912,15,NA,NA,15,midnightblue
ENSG00000162591,12,NA,NA,12,tan
ENSG00000158109,2,NA,NA,02,blue
ENSG00000078900,5,NA,NA,05,green
ENSG00000169598,9,NA,NA,09,magenta
ENSG00000198912,6,NA,NA,06,red
ENSG00000069424,2,NA,NA,02,blue
ENSG00000116251,3,NA,NA,03,brown
ENSG00000158286,3,NA,NA,03,brown
ENSG00000116237,5,NA,NA,05,green
ENSG00000158292,14,NA,NA,14,cyan
ENSG00000215788,7,NA,NA,07,black
ENSG00000204859,9,NA,NA,09,magenta
ENSG00000162413,8,NA,NA,08,pink
ENSG00000041988,8,NA,NA,08,pink
ENSG00000007923,3,NA,NA,03,brown
ENSG00000171735,8,NA,NA,08,pink
ENSG00000049245,1,NA,NA,01,turquoise
ENSG00000049246,2,NA,NA,02,blue
ENSG00000049249,1,NA,NA,01,turquoise
ENSG00000116288,3,NA,NA,03,brown
ENSG00000116285,7,NA,NA,07,black
ENSG00000142599,2,NA,NA,02,blue
ENSG00000074800,3,NA,NA,03,brown
ENSG00000142583,12,NA,NA,12,tan
ENSG00000180758,3,NA,NA,03,brown
ENSG00000171621,14,NA,NA,14,cyan
ENSG00000171612,3,NA,NA,03,brown
ENSG00000188807,5,NA,NA,05,green
