MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000187583,ENSG00000228594,ENSG00000188976,ENSG00000189339,ENSG00000078900,ENSG00000157933,ENSG00000215788,ENSG00000187608,ENSG00000197530,ENSG00000215790,ENSG00000176022,ENSG00000162591,ENSG00000204138,ENSG00000158292,ENSG00000215912,
ENSG00000188290,ENSG00000158109,ENSG00000127054,ENSG00000132881,ENSG00000116237,ENSG00000198912,ENSG00000116285,ENSG00000162413,ENSG00000169598,ENSG00000116151,ENSG00000028137,ENSG00000142583,ENSG00000178028,ENSG00000171621,ENSG00000058453,
ENSG00000188157,ENSG00000069424,ENSG00000242485,ENSG00000117115,ENSG00000188807,ENSG00000162444,ENSG00000116663,ENSG00000041988,ENSG00000204859,ENSG00000159423,ENSG00000142751,ENSG00000004487,ENSG00000187147,ENSG00000127124,ENSG00000117620,
ENSG00000186891,ENSG00000049246,ENSG00000179403,ENSG00000158828,ENSG00000162441,ENSG00000083444,ENSG00000117298,ENSG00000171735,ENSG00000171608,ENSG00000198830,ENSG00000054118,ENSG00000132763,ENSG00000186118,ENSG00000188396,ENSG00000052723,
ENSG00000186827,ENSG00000142599,ENSG00000160072,ENSG00000117245,ENSG00000142655,ENSG00000142621,ENSG00000116350,ENSG00000177674,ENSG00000171603,ENSG00000126705,ENSG00000066136,ENSG00000067208,ENSG00000117281,ENSG00000117500,ENSG00000143379,
ENSG00000078808,ENSG00000178585,ENSG00000157881,ENSG00000184677,ENSG00000053371,ENSG00000162458,ENSG00000175130,ENSG00000116731,ENSG00000175206,ENSG00000130772,ENSG00000198841,ENSG00000198890,ENSG00000143303,ENSG00000137936,ENSG00000163563,
ENSG00000160087,ENSG00000173614,ENSG00000116251,ENSG00000125945,ENSG00000075151,ENSG00000133216,ENSG00000159588,ENSG00000074964,ENSG00000171729,ENSG00000121766,ENSG00000117174,ENSG00000184599,ENSG00000121454,ENSG00000117525,ENSG00000091106,
ENSG00000107404,ENSG00000130939,ENSG00000158286,ENSG00000088280,ENSG00000007968,ENSG00000142733,ENSG00000154222,ENSG00000090432,ENSG00000158156,ENSG00000092847,ENSG00000197147,ENSG00000198799,ENSG00000181450,ENSG00000143093,ENSG00000135973,
ENSG00000078369,ENSG00000160049,ENSG00000007923,ENSG00000057757,ENSG00000117308,ENSG00000009780,ENSG00000116212,ENSG00000142676,ENSG00000164002,ENSG00000158315,ENSG00000143119,ENSG00000160767,ENSG00000185220,ENSG00000143393,ENSG00000135966,
ENSG00000157916,ENSG00000175262,ENSG00000116288,ENSG00000011009,ENSG00000117602,ENSG00000130770,ENSG00000158966,ENSG00000183726,ENSG00000117385,ENSG00000117448,ENSG00000269713,ENSG00000143315,ENSG00000163026,ENSG00000162734,ENSG00000144306,
ENSG00000049245,ENSG00000009724,ENSG00000074800,ENSG00000117305,ENSG00000157978,ENSG00000116819,ENSG00000213625,ENSG00000204178,ENSG00000134744,ENSG00000157216,ENSG00000118292,ENSG00000133059,ENSG00000237651,ENSG00000075391,ENSG00000115942,
ENSG00000049249,ENSG00000177000,ENSG00000180758,ENSG00000142784,ENSG00000175087,ENSG00000185668,ENSG00000081985,ENSG00000198746,ENSG00000152763,ENSG00000162390,ENSG00000143545,ENSG00000212916,ENSG00000115641,ENSG00000090104,ENSG00000177873,
ENSG00000142657,ENSG00000011021,ENSG00000171612,ENSG00000120656,ENSG00000130695,ENSG00000116985,ENSG00000066557,ENSG00000169403,ENSG00000197568,ENSG00000162600,ENSG00000253831,ENSG00000205639,ENSG00000121988,ENSG00000162772,ENSG00000144647,
ENSG00000116670,ENSG00000116685,ENSG00000054523,ENSG00000162512,ENSG00000158062,ENSG00000186409,ENSG00000174021,ENSG00000130766,ENSG00000134215,ENSG00000088035,ENSG00000143153,ENSG00000163214,ENSG00000182389,ENSG00000143811,ENSG00000011376,
ENSG00000142634,ENSG00000162496,ENSG00000130940,ENSG00000121903,ENSG00000090020,ENSG00000126088,ENSG00000162642,ENSG00000180098,ENSG00000173218,ENSG00000117054,ENSG00000116852,ENSG00000119878,ENSG00000196653,ENSG00000134330,ENSG00000163946,
ENSG00000065526,ENSG00000197312,ENSG00000171824,ENSG00000163867,ENSG00000183386,ENSG00000142892,ENSG00000154451,ENSG00000160058,ENSG00000134247,ENSG00000137976,ENSG00000159388,ENSG00000115504,ENSG00000163617,ENSG00000222014,ENSG00000197763,
ENSG00000116809,ENSG00000162461,ENSG00000120942,ENSG00000146463,ENSG00000116990,ENSG00000143110,ENSG00000154511,ENSG00000116954,ENSG00000243364,ENSG00000162643,ENSG00000135776,ENSG00000087338,ENSG00000196981,ENSG00000121989,ENSG00000163923,
ENSG00000055070,ENSG00000219481,ENSG00000162493,ENSG00000142687,ENSG00000187801,ENSG00000121933,ENSG00000116752,ENSG00000132128,ENSG00000160783,ENSG00000143033,ENSG00000177535,ENSG00000115459,ENSG00000152953,ENSG00000135912,ENSG00000163291,
ENSG00000127481,ENSG00000162542,ENSG00000142627,ENSG00000134698,ENSG00000127125,ENSG00000197852,ENSG00000009307,ENSG00000137959,ENSG00000135845,ENSG00000117528,ENSG00000143797,ENSG00000275111,ENSG00000163116,ENSG00000145041,ENSG00000113600,
ENSG00000070831,ENSG00000090686,ENSG00000127463,ENSG00000163909,ENSG00000171960,ENSG00000064703,ENSG00000183508,ENSG00000116266,ENSG00000116191,ENSG00000122481,ENSG00000228474,ENSG00000198203,ENSG00000145715,ENSG00000170017,ENSG00000145982,
ENSG00000125944,ENSG00000001461,ENSG00000053372,ENSG00000066135,ENSG00000126106,ENSG00000134253,ENSG00000197747,ENSG00000085433,ENSG00000153029,ENSG00000134243,ENSG00000115825,ENSG00000204406,ENSG00000164406,ENSG00000158186,ENSG00000204498,
ENSG00000011007,ENSG00000117643,ENSG00000173436,ENSG00000117480,ENSG00000185104,ENSG00000198483,ENSG00000143546,ENSG00000265808,ENSG00000116857,ENSG00000186364,ENSG00000119866,ENSG00000168288,ENSG00000170464,ENSG00000151247,ENSG00000111911,
ENSG00000189266,ENSG00000182749,ENSG00000158747,ENSG00000132122,ENSG00000123080,ENSG00000162836,ENSG00000197956,ENSG00000271383,ENSG00000082512,ENSG00000264343,ENSG00000169621,ENSG00000197557,ENSG00000196812,ENSG00000164023,ENSG00000155034,
ENSG00000188529,ENSG00000117632,ENSG00000204160,ENSG00000085832,ENSG00000162384,ENSG00000184260,ENSG00000143575,ENSG00000163220,ENSG00000154305,ENSG00000143452,ENSG00000197121,ENSG00000204311,ENSG00000204564,ENSG00000079215,ENSG00000015676,
ENSG00000133226,ENSG00000158006,ENSG00000158161,ENSG00000121310,ENSG00000117155,ENSG00000143457,ENSG00000185499,ENSG00000160710,ENSG00000197520,ENSG00000143409,ENSG00000115896,ENSG00000162944,ENSG00000170899,ENSG00000172062,ENSG00000127980,
ENSG00000169504,ENSG00000117713,ENSG00000160050,ENSG00000116171,ENSG00000156876,ENSG00000143458,ENSG00000027869,ENSG00000163374,ENSG00000179456,ENSG00000159409,ENSG00000154252,ENSG00000226124,ENSG00000183137,ENSG00000124789,ENSG00000004948,
ENSG00000186501,ENSG00000188060,ENSG00000084623,ENSG00000211452,ENSG00000121957,ENSG00000163348,ENSG00000160856,ENSG00000158859,ENSG00000162849,ENSG00000143614,ENSG00000114302,ENSG00000240344,ENSG00000111816,ENSG00000111886,ENSG00000196636,
ENSG00000181773,ENSG00000121775,ENSG00000126067,ENSG00000116729,ENSG00000168679,ENSG00000169231,ENSG00000158869,ENSG00000143226,ENSG00000143869,ENSG00000163344,ENSG00000162244,ENSG00000155749,ENSG00000111875,ENSG00000085377,ENSG00000184083,
ENSG00000117758,ENSG00000225828,ENSG00000116871,ENSG00000254685,ENSG00000143105,ENSG00000163564,ENSG00000158874,ENSG00000173110,ENSG00000213699,ENSG00000162736,ENSG00000168237,ENSG00000124006,ENSG00000157999,ENSG00000130368,ENSG00000196338,
ENSG00000117751,ENSG00000162521,ENSG00000185090,ENSG00000065243,ENSG00000116455,ENSG00000158716,ENSG00000094975,ENSG00000118217,ENSG00000171094,ENSG00000066294,ENSG00000163378,ENSG00000156959,ENSG00000164742,ENSG00000058091,ENSG00000158301,
