geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000187583,19,NA,NA,19,lightyellow
ENSG00000188290,3,NA,NA,03,brown
ENSG00000187608,1,NA,NA,01,turquoise
ENSG00000188157,8,NA,NA,08,pink
ENSG00000186827,1,NA,NA,01,turquoise
ENSG00000169972,6,NA,NA,06,red
ENSG00000205090,17,NA,NA,17,grey60
ENSG00000189339,4,NA,NA,04,yellow
ENSG00000157933,4,NA,NA,04,yellow
ENSG00000116151,6,NA,NA,06,red
ENSG00000157870,23,NA,NA,23,darkturquoise
ENSG00000215912,4,NA,NA,04,yellow
ENSG00000130764,7,NA,NA,07,black
ENSG00000169598,2,NA,NA,02,blue
ENSG00000069424,15,NA,NA,15,midnightblue
ENSG00000116237,2,NA,NA,02,blue
ENSG00000158292,22,NA,NA,22,darkgreen
ENSG00000069812,17,NA,NA,17,grey60
ENSG00000204859,11,NA,NA,11,greenyellow
ENSG00000049245,5,NA,NA,05,green
ENSG00000049246,15,NA,NA,15,midnightblue
ENSG00000049249,13,NA,NA,13,salmon
ENSG00000116285,3,NA,NA,03,brown
ENSG00000142599,14,NA,NA,14,cyan
ENSG00000188807,16,NA,NA,16,lightcyan
ENSG00000173614,2,NA,NA,02,blue
ENSG00000130939,16,NA,NA,16,lightcyan
ENSG00000054523,3,NA,NA,03,brown
ENSG00000160049,9,NA,NA,09,magenta
ENSG00000142655,9,NA,NA,09,magenta
ENSG00000130940,1,NA,NA,01,turquoise
ENSG00000116663,1,NA,NA,01,turquoise
ENSG00000116685,7,NA,NA,07,black
ENSG00000162496,7,NA,NA,07,black
ENSG00000189337,17,NA,NA,17,grey60
ENSG00000132906,2,NA,NA,02,blue
ENSG00000197312,6,NA,NA,06,red
ENSG00000116809,3,NA,NA,03,brown
ENSG00000055070,5,NA,NA,05,green
ENSG00000219481,12,NA,NA,12,tan
ENSG00000074964,2,NA,NA,02,blue
ENSG00000159423,22,NA,NA,22,darkgreen
ENSG00000169991,9,NA,NA,09,magenta
ENSG00000127481,1,NA,NA,01,turquoise
ENSG00000162542,2,NA,NA,02,blue
ENSG00000169914,13,NA,NA,13,salmon
