TBgenes.1,TBgenes.2,TBgenes.3,TBgenes.4,TBgenes.5,TBgenes.6,TBgenes.7,TBgenes.8,TBgenes.9,TBgenes.10,TBgenes.11,TBgenes.12,TBgenes.13,TBgenes.14,TBgenes.15,TBgenes.16,TBgenes.17,TBgenes.18,TBgenes.19,TBgenes.20,TBgenes.21,TBgenes.22,TBgenes.23,TBgenes.24
ENSG00000187608,ENSG00000169598,ENSG00000188290,ENSG00000189339,ENSG00000049245,ENSG00000169972,ENSG00000130764,ENSG00000188157,ENSG00000160049,ENSG00000197982,ENSG00000204859,ENSG00000219481,ENSG00000049249,ENSG00000142599,ENSG00000069424,ENSG00000188807,ENSG00000205090,ENSG00000159479,ENSG00000187583,ENSG00000158161,ENSG00000020633,ENSG00000158292,ENSG00000157870,
ENSG00000186827,ENSG00000116237,ENSG00000116285,ENSG00000157933,ENSG00000055070,ENSG00000116151,ENSG00000116685,ENSG00000070831,ENSG00000142655,ENSG00000143119,ENSG00000130695,ENSG00000187801,ENSG00000169914,ENSG00000183726,ENSG00000049246,ENSG00000130939,ENSG00000069812,ENSG00000116455,ENSG00000175130,ENSG00000162433,ENSG00000117010,ENSG00000159423,ENSG00000159596,
ENSG00000130940,ENSG00000173614,ENSG00000054523,ENSG00000215912,ENSG00000142676,ENSG00000197312,ENSG00000162496,ENSG00000121774,ENSG00000169991,ENSG00000183508,ENSG00000180198,ENSG00000162377,ENSG00000163877,ENSG00000116350,ENSG00000116885,ENSG00000092847,ENSG00000189337,ENSG00000198715,ENSG00000188396,ENSG00000196369,ENSG00000156875,ENSG00000158006,ENSG00000162735,
ENSG00000116663,ENSG00000132906,ENSG00000116809,ENSG00000001461,ENSG00000011007,ENSG00000157978,ENSG00000188060,ENSG00000004455,ENSG00000132768,ENSG00000116874,ENSG00000174151,ENSG00000162383,ENSG00000127603,ENSG00000179862,ENSG00000119535,ENSG00000142875,ENSG00000169641,ENSG00000120334,ENSG00000222009,ENSG00000143324,ENSG00000171943,ENSG00000084072,ENSG00000186517,
ENSG00000127481,ENSG00000074964,ENSG00000188529,ENSG00000117643,ENSG00000126709,ENSG00000182749,ENSG00000121775,ENSG00000146463,ENSG00000137992,ENSG00000118292,ENSG00000175984,ENSG00000117155,ENSG00000085999,ENSG00000132780,ENSG00000171790,ENSG00000203943,ENSG00000117640,ENSG00000162813,ENSG00000116675,ENSG00000084676,ENSG00000143368,ENSG00000169174,ENSG00000211460,
ENSG00000189266,ENSG00000162542,ENSG00000116560,ENSG00000117713,ENSG00000117758,ENSG00000176092,ENSG00000164011,ENSG00000077254,ENSG00000134186,ENSG00000160741,ENSG00000163545,ENSG00000162639,ENSG00000121940,ENSG00000132128,ENSG00000259030,ENSG00000116337,ENSG00000163875,ENSG00000143815,ENSG00000125462,ENSG00000171055,ENSG00000143384,ENSG00000171492,ENSG00000163812,
ENSG00000169504,ENSG00000175087,ENSG00000196182,ENSG00000142784,ENSG00000162419,ENSG00000117676,ENSG00000117408,ENSG00000171488,ENSG00000168679,ENSG00000198771,ENSG00000276600,ENSG00000134222,ENSG00000265491,ENSG00000162402,ENSG00000122484,ENSG00000116161,ENSG00000116922,ENSG00000119203,ENSG00000173110,ENSG00000116001,ENSG00000160753,ENSG00000181754,ENSG00000114648,
ENSG00000060642,ENSG00000158062,ENSG00000196449,ENSG00000222046,ENSG00000092853,ENSG00000130772,ENSG00000187147,ENSG00000085491,ENSG00000143105,ENSG00000143147,ENSG00000179397,ENSG00000143458,ENSG00000269713,ENSG00000117226,ENSG00000143373,ENSG00000138002,ENSG00000036549,ENSG00000115207,ENSG00000116852,ENSG00000159399,ENSG00000117091,ENSG00000143110,ENSG00000213672,
ENSG00000204138,ENSG00000090020,ENSG00000142949,ENSG00000116497,ENSG00000090621,ENSG00000171812,ENSG00000058804,ENSG00000155363,ENSG00000177301,ENSG00000196878,ENSG00000115738,ENSG00000187554,ENSG00000143162,ENSG00000163349,ENSG00000133056,ENSG00000138078,ENSG00000162676,ENSG00000115548,ENSG00000196550,ENSG00000136682,ENSG00000117477,ENSG00000121851,ENSG00000023330,
ENSG00000121900,ENSG00000116353,ENSG00000173846,ENSG00000160094,ENSG00000065978,ENSG00000079277,ENSG00000125703,ENSG00000163131,ENSG00000160685,ENSG00000123685,ENSG00000115884,ENSG00000168118,ENSG00000090104,ENSG00000213064,ENSG00000212916,ENSG00000171150,ENSG00000010165,ENSG00000138398,ENSG00000086619,ENSG00000125633,ENSG00000152061,ENSG00000143457,ENSG00000164091,
