gene,variable,pval,FDR,ensembl_gene_id,CHR,start,end,entrezgene_id
A1BG,conditionTB,0.12,0.150519795,ENSG00000121410,19,58345178,58353492,1
A2M,conditionTB,7.00E-04,0.001190264,ENSG00000175899,12,9067664,9116229,2
A2ML1,conditionTB,0.39,0.440045223,ENSG00000166535,12,8822621,8887001,144568
A4GALT,conditionTB,0,0,ENSG00000128274,22,42692121,42721298,53947
AAAS,conditionTB,6.80E-13,2.21E-12,ENSG00000094914,12,53307456,53324864,8086
AACS,conditionTB,0.0074,0.011180017,ENSG00000081760,12,125065434,125143333,65985
AAED1,conditionTB,0.0011,0.001825104,ENSG00000158122,9,96639577,96655317,195827
AAGAB,conditionTB,6.20E-07,1.38E-06,ENSG00000103591,15,67200667,67255195,79719
AAK1,conditionTB,1.20E-11,3.62E-11,ENSG00000115977,2,69457997,69674349,22848
AAMDC,conditionTB,0.21,0.251338016,ENSG00000087884,11,77821109,77918432,28971
AAMP,conditionTB,5.10E-15,1.85E-14,ENSG00000127837,2,218264129,218270178,14
AANAT,conditionTB,3.20E-06,6.74E-06,ENSG00000129673,17,76453351,76470117,15
AAR2,conditionTB,0.9,0.914996726,ENSG00000131043,20,36236131,36270918,25980
AARS,conditionTB,0.17,0.207408313,ENSG00000090861,16,70251983,70289707,16
AARS2,conditionTB,0.014,0.02041198,ENSG00000124608,6,44298731,44313347,57505
AARSD1,conditionTB,2.10E-04,3.76E-04,ENSG00000266967,17,42950526,42964498,80755
AASDH,conditionTB,4.50E-07,1.01E-06,ENSG00000157426,4,56338287,56387508,132949
AASDHPPT,conditionTB,2.60E-04,4.61E-04,ENSG00000149313,11,106075501,106098699,60496
AASS,conditionTB,5.00E-04,8.63E-04,ENSG00000008311,7,122064583,122144308,10157
AATF,conditionTB,0.043,0.05835237,ENSG00000275700,17,36948925,37056871,26574
AATK,conditionTB,7.70E-15,2.76E-14,ENSG00000181409,17,81110487,81166221,9625
ABAT,conditionTB,1.20E-15,4.46E-15,ENSG00000183044,16,8674596,8784575,18
ABCA1,conditionTB,6.70E-13,2.17E-12,ENSG00000165029,9,104781006,104928155,19
ABCA10,conditionTB,8.60E-05,1.60E-04,ENSG00000154263,17,69147214,69244846,10349
ABCA13,conditionTB,0.13,0.162073704,ENSG00000179869,7,48171458,48647497,154664
ABCA2,conditionTB,0.042,0.057156326,ENSG00000107331,9,137007234,137028922,20
ABCA3,conditionTB,0.12,0.150519795,ENSG00000167972,16,2275881,2340746,21
ABCA5,conditionTB,0,0,ENSG00000154265,17,69244311,69327244,23461
ABCA6,conditionTB,1.70E-07,3.95E-07,ENSG00000154262,17,69078702,69141895,23460
ABCA7,conditionTB,0,0,ENSG00000064687,19,1039997,1065572,10347
ABCB1,conditionTB,0,0,ENSG00000085563,7,87503017,87713323,5243
ABCB10,conditionTB,1.20E-07,2.82E-07,ENSG00000135776,1,229516582,229558707,23456
ABCB11,conditionTB,1.40E-06,3.03E-06,ENSG00000073734,2,168915498,169031324,8647
ABCB4,conditionTB,2.40E-06,5.10E-06,ENSG00000005471,7,87401696,87480435,5244
ABCB5,conditionTB,4.70E-06,9.77E-06,ENSG00000004846,7,20615667,20777038,340273
ABCB6,conditionTB,0.79,0.817197009,ENSG00000115657,2,219209772,219218994,10058
ABCB7,conditionTB,0.0012,0.001982781,ENSG00000131269,X,75051048,75156732,22
ABCB8,conditionTB,3.90E-04,6.80E-04,ENSG00000197150,7,151028422,151047782,11194
ABCB9,conditionTB,0.42,0.470023228,ENSG00000150967,12,122920951,122981649,23457
ABCC1,conditionTB,0,0,ENSG00000103222,16,15949138,16143257,4363
ABCC10,conditionTB,7.40E-07,1.64E-06,ENSG00000124574,6,43427366,43450427,89845
ABCC2,conditionTB,0.78,0.808528823,ENSG00000023839,10,99782640,99852594,1244
ABCC3,conditionTB,0,0,ENSG00000108846,17,50634777,50692253,8714
ABCC4,conditionTB,0.073,0.095278468,ENSG00000125257,13,95019835,95301475,10257
ABCC5,conditionTB,0,0,ENSG00000114770,3,183919934,184017939,10057
ABCC6,conditionTB,1.50E-04,2.72E-04,ENSG00000091262,16,16149565,16223522,368
ABCD1,conditionTB,0.23,0.273122557,ENSG00000101986,X,153724856,153744755,215
